131	8332	1
9067	9091	7
434	5882	4
258	6315	2
3895	6752	5
102	5347	2
9889	4089	1
14	174	4
101	9349	3
6397	1110	4
113	2343	0
420	3977	4
14	4742	6
774	3770	1
14	617	4
144	911	0
10625	3286	5
115	9450	2
832	2938	4
346	1327	2
6516	4419	7
1910	6145	0
4062	5866	4
267	7286	1
450	9778	3
107	3741	2
105	4175	1
156	2011	6
102	1163	2
859	2914	3
105	615	3
4450	8719	7
14	750	6
115	8014	2
215	2762	3
281	1937	1
14	9098	5
196	6681	0
2186	794	9
126	8459	0
146	6562	0
9100	8879	0
8374	5706	0
397	513	1
396	8271	2
218	235	5
109	2998	0
11172	8892	3
335	3193	3
197	773	1
104	7398	0
505	9394	4
14	8525	5
14	9859	7
14	6766	7
105	6887	2
2524	8789	0
3393	5714	1
514	5417	0
1436	18	4
106	7803	8
14	2566	7
101	232	2
163	1724	4
118	1196	2
109	3327	0
101	3776	5
13005	7680	1
212	924	2
14	3855	5
108	8798	4
283	7539	2
105	7598	2
7239	3670	7
14	9732	5
162	7357	3
128	5420	1
14	68	8
14	7463	7
594	2171	4
2663	5552	3
14	162	5
134	1974	1
121	4637	3
57	4166	0
14	5444	5
2870	7428	4
2125	7584	3
500	945	5
112	8953	0
11740	5047	2
6499	1728	0
21	2649	6
1761	9265	1
130	3405	2
706	4475	3
1010	8382	5
646	7765	3
103	8557	3
11856	7823	3
3560	5752	0
280	4411	1
14	613	5
9351	2687	1
14	6344	8
461	991	5
2636	7531	4
6481	8815	3
161	5181	5
14	37	7
14	2027	5
13654	524	3
317	179	2
116	1029	1
14	5571	7
1502	7469	7
119	516	3
250	2078	2
169	9828	1
498	1161	5
122	954	3
117	8111	0
12532	3463	7
5911	1135	0
357	7409	8
2151	3355	3
14	6309	6
14	9288	6
101	7844	4
140	3444	3
870	3194	5
183	9676	3
695	7529	2
4964	7251	8
9592	3579	5
1334	1229	0
395	1465	5
123	1296	4
264	7702	5
101	7085	6
368	5192	6
2444	1339	5
679	2180	5
312	7040	3
1852	127	8
8300	3694	2
2808	7674	5
176	6006	3
14	299	3
510	834	4
14	3843	4
2870	2988	2
393	4467	1
102	3752	2
14	8646	6
10880	7091	4
123	4209	6
168	9508	0
322	2299	0
124	532	4
112	9049	0
8155	5535	0
21	9532	4
228	9161	2
14	258	5
102	5455	3
101	9513	2
312	7081	5
3704	6591	2
11969	2016	4
233	7223	3
112	9232	0
542	3422	3
14	5796	7
21	9659	6
460	7259	4
14	8908	8
130	4781	5
110	1330	5
10194	8469	7
7325	4452	0
162	9723	4
208	5465	2
12	2633	1
109	4189	0
939	7345	2
3239	5518	1
545	9557	0
114	3367	1
4487	8373	4
263	1755	4
8658	4306	1
1195	5204	5
58	8146	9
105	2403	1
9164	7000	8
154	9343	2
660	9919	4
11742	605	2
519	6011	3
647	6009	4
120	5401	3
247	9851	3
6327	2398	14
4212	7106	2
416	3702	5
584	3175	2
4062	2632	4
2935	7449	1
624	1422	0
690	823	5
327	1005	3
14	6530	4
102	3535	2
238	7755	0
14	2986	6
111	6992	2
107	7191	5
1271	9310	1
3938	5767	2
477	7498	9
167	3182	1
3340	1808	0
198	3872	4
1399	9841	3
7908	5195	0
21	9520	5
14049	8369	2
4445	32	3
13472	102	2
102	7778	7
14	1728	6
2579	9600	1
140	5343	1
108	1364	5
6387	1542	1
101	6600	3
11723	4834	7
5729	6883	1
199	5985	1
3755	9901	1
1036	3617	4
127	2849	6
4705	9932	5
8758	7842	1
309	5094	0
479	1739	0
357	2032	4
7218	4394	0
1119	8523	4
129	1508	2
2206	4403	2
118	972	4
101	7461	9
829	2067	3
167	7112	3
307	3380	3
151	2417	2
163	6357	5
317	2622	6
138	859	3
763	4540	1
107	6549	4
114	3371	0
346	591	4
103	9729	4
636	6857	1
110	1648	2
399	7373	2
5958	1166	0
11252	9864	3
106	6641	2
104	7494	0
102	427	6
264	2203	4
524	1031	4
107	603	3
220	551	3
147	2113	8
114	4076	0
177	7669	0
5849	1566	8
105	2536	2
323	2330	1
2630	1770	5
14	484	8
142	525	0
11563	9985	3
14	8298	7
101	6790	5
265	2642	3
205	7282	2
143	261	0
10782	9863	5
14	803	8
142	202	0
2126	2055	2
14	9571	5
173	5909	2
4780	8098	6
12174	7541	2
7892	6438	6
953	7243	1
1760	8569	2
203	1990	2
162	3570	1
14	5829	8
336	9	5
13290	4282	6
12576	8060	4
623	1012	0
174	4937	0
336	9709	2
246	301	1
1311	3494	4
14	5783	4
105	4560	3
118	8179	3
13693	7969	5
1082	5739	1
105	5337	1
113	2111	0
1148	4537	1
102	29	2
1025	8690	0
2386	4812	6
11539	8003	3
118	2258	3
609	8085	3
3190	1989	7
7519	4621	0
249	136	0
8959	8752	0
106	3366	4
167	6583	3
